,name
58805,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 019, 1755"
58806,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 018, 1755"
58807,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 018, 1755"
58808,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 017, 1755"
58809,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 017, 1755"
58810,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 016, 1755"
58811,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 016, 1755"
58812,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 015, 1755"
58813,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 015, 1755"
58814,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 014, 1755"
58815,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 014, 1755"
58816,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 013, 1755"
58817,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 013, 1755"
58818,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 012, 1755"
58819,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 012, 1755"
58820,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 011, 1755"
58821,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 011, 1755"
58822,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 010, 1755"
58823,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 010, 1755"
58824,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 009, 1755"
58825,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 009, 1755"
58826,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 008, 1755"
58827,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## No. 008, 1755"
58828,"Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr ... 1755 ## Beytrag 007, 1755"
